blanket,31087.1,2.15152,1.41046,2.38333,10.1088,2.07061,0.259989,0.279007,0.668723,2.84353,1.9029,0.305234,0.418647,1.09379,4.56471,3.07565,0.546853,0.78817,2.07624,8.57775,13.9556,1.37283,1.78909,4.52029,18.7063,
blanket,20635.5,15.5592,10.8324,18.9576,83.2006,12.1803,1.95031,2.18919,5.24289,21.7819,12.1768,2.54762,3.45143,8.79516,35.4915,22.1385,4.7666,6.65228,16.988,67.9384,80.0404,12.4962,15.8135,38.6812,156.904,
blanket,16870,31.9414,15.6333,16.7184,31.3912,47.5571,2.73424,0.858788,0.643197,1.76235,28.2647,0.766418,0.275834,0.252444,0.760323,25.9291,0.575561,0.238773,0.251001,0.808,37.4902,1.65453,0.697074,0.745808,2.71691,
blanket,17007.9,26.0789,14.7712,15.762,37.4222,37.6405,1.92204,0.731417,0.776134,2.84905,21.5019,0.711885,0.319495,0.360021,1.23067,18.7161,0.720247,0.344826,0.4005,1.40187,32.713,2.38749,1.1499,1.38881,5.27502,
blanket,17008.5,25.9125,13.1872,14.9589,36.1055,38.3329,2.0952,0.756145,0.744452,2.72811,21.6991,0.744966,0.325352,0.357897,1.19684,20.0028,0.779905,0.352815,0.394229,1.30559,37.4025,2.67871,1.16475,1.30133,4.63842,
blanket,16897.9,28.6102,14.3887,15.4249,30.6354,44.6079,2.4537,0.808506,0.655479,1.96876,26.0176,0.822392,0.319658,0.308807,0.913289,24.4467,0.823636,0.341859,0.346825,1.05044,42.0946,2.85334,1.14977,1.15242,3.86206,
blanket,17782.2,4.52199,1.21811,0.600374,0.907303,4.87687,0.223201,0.0673626,0.0415513,0.0781216,0.998341,0.0765778,0.0254464,0.0183884,0.0382239,0.869682,0.0792177,0.0296929,0.025485,0.0584954,2.07666,0.226829,0.0920098,0.0849008,0.207624,
blanket,17571.4,14.945,4.92981,2.89813,6.54107,14.4066,0.699387,0.244177,0.197221,0.541807,2.81362,0.253141,0.103055,0.108982,0.321913,2.78946,0.305893,0.140838,0.168508,0.531385,8.0244,1.01382,0.468401,0.525129,1.7114,
blanket,17682.5,8.78439,3.03127,1.83103,3.78457,7.99896,0.429167,0.162015,0.12171,0.337236,1.35358,0.121947,0.050604,0.0506177,0.166418,1.05817,0.110179,0.0512542,0.0615871,0.217452,2.66845,0.307459,0.148759,0.17421,0.611424,
brick,11327.3,6.69717,3.55558,5.73,39.4315,38.8447,1.05646,0.575733,0.899175,5.69488,10.4755,0.71976,0.396719,0.597578,3.64929,13.7697,1.33305,0.733551,1.06605,6.30438,93.2151,10.6944,5.71873,8.13772,46.6635,
brick,24609,25.3123,8.17238,10.3768,60.9259,47.9209,1.61629,0.739467,1.05173,6.79517,15.4059,0.819882,0.392958,0.528599,3.14637,17.4297,1.25103,0.583097,0.714881,3.88158,98.2973,7.9286,3.42674,3.87938,20.2354,
brick,15998,18.2173,4.20992,4.61415,22.9005,68.6672,0.258445,0.126226,0.181478,1.20246,10.9895,0.0961253,0.0483767,0.0634795,0.403187,8.93433,0.124361,0.0583852,0.0671845,0.370613,33.329,0.696907,0.286581,0.281027,1.43483,
brick,15669.1,11.8889,7.61599,12.2672,62.7403,108.455,0.56512,0.266354,0.334786,1.31905,53.0251,0.286036,0.12243,0.139788,0.489232,45.8813,0.369633,0.136739,0.142305,0.495801,162.658,1.68853,0.52406,0.514306,1.93828,
brick,36723.6,13.0943,5.8618,5.21665,17.6264,52.2327,0.402378,0.171146,0.178084,0.60522,12.4681,0.166557,0.0677621,0.0676866,0.228597,9.23873,0.189089,0.0755906,0.073415,0.244937,26.8883,0.669981,0.270256,0.264739,0.909291,
brick,17402.7,13.4767,3.25212,2.87868,11.5212,71.2444,0.938409,0.306025,0.301045,1.17522,15.6314,0.419922,0.155453,0.154957,0.58264,12.0783,0.521758,0.20023,0.197948,0.720781,45.317,2.28934,0.898926,0.914162,3.4335,
brick,13196,5.5873,1.88884,1.59517,5.76002,7.14311,0.0907033,0.0463484,0.0598422,0.234554,2.22499,0.0296662,0.0138931,0.0170895,0.064144,2.05639,0.0299445,0.0128299,0.0154751,0.0596903,5.34704,0.09938,0.0429765,0.0546347,0.227981,
brick,25813.2,6.01724,2.25967,2.14555,6.45316,36.2517,0.63116,0.221089,0.208021,0.61512,16.6496,0.334978,0.11787,0.107726,0.314145,16.3324,0.421605,0.153691,0.141794,0.418304,40.6908,1.5679,0.590261,0.558045,1.71554,
brick,20036.1,12.3506,3.55219,3.54712,14.6822,57.6471,0.831002,0.31995,0.359925,1.52568,15.5939,0.38353,0.155214,0.173431,0.72865,12.5342,0.48642,0.207095,0.221782,0.882872,45.3587,2.31426,1.02512,1.09037,4.14141,
grass,17018.8,38.4496,10.2645,6.95922,12.9623,48.243,3.03332,0.939377,0.719418,1.46232,16.4426,1.12142,0.368645,0.306233,0.692222,13.9253,0.997472,0.348037,0.312322,0.793461,29.4253,2.32921,0.886976,0.881613,2.79921,
grass,16981.3,33.5626,9.66078,7.21594,15.3009,49.2178,3.3303,1.05421,0.797151,1.69732,17.6064,1.40111,0.473383,0.378657,0.854082,15.1166,1.34442,0.485782,0.420683,1.0517,34.8165,3.48327,1.40185,1.34574,3.94039,
